Hydrogen H 
Helium He
Lithium Li 
Beryllium Be
Boron B
Carbon C
Nitrogen N
Oxygen O
Fluorine F
Neon Ne
Sodium Na
Magnesium Mg
Aluminium Al
Silicon Si
Phosphorus P
Sulfur S
Chlorine Cl
Argon Ar
Potassium K
Calcium Ca
Scandium Sc
Titanium Ti
Vanadium V
Chromium Cr
Manganese Mn
Iron Fe
Cobalt Co
Nickel Ni
Copper Cu
Zinc Zn
Gallium Ga
Germanium Ge
Arsenic As
Selenium Se
Bromine Br
Krypton Kr
Rubidium Rb
Strontium Sr
Yttrium Y
Zirconium Zr
Nyobium Nb
Molybdenum Mo
Technetium Tc
Ruthenium Ru
Rhodium Rh
Palladium Pd
Silver Ag
Cardmium Cd
Indium In
Tin Sn
Antimony Sb
Tellurium Te
Iodine I
Xenon Xe
